종목명,금일종가,ATR,ATR/금일종가
SK증권,598,9.33333333,0.01560758
SK증권우,2770,104.33333333,0.03766546
SK케미칼,66800,2840.,0.04251497
SK케미칼우,31400,3003.33333333,0.09564756
SK텔레콤,242000,3266.66666667,0.01349862
SK하이닉스,80500,2460.,0.03055901
SM C&C,1475,25.,0.01694915
SM Life Design,1945,60.,0.03084833
SNK,16350,350.,0.02140673
SPC삼립,91000,1593.33333333,0.01750916
STX,7710.,318.66666667,0.0413316
STX엔진,6730,164.,0.0243685
STX중공업,3290,192.33333333,0.05845998
SV인베스트먼트,1950,230.,0.11794872
TBH글로벌,2780,99.33333333,0.03573141
TCC스틸,2685,67.66666667,0.02520174
THE E&M,968,52.,0.05371901
THE MIDONG,1800,60.,0.03333333
TJ미디어,3315,85.,0.02564103
TPC,4065,85.,0.02091021
TS인베스트먼트,2500,90.,0.036
UCI,3975,85.,0.02138365
WI,8950,510.,0.05698324
WISCOM,2615.,25.66666667,0.00981517
W홀딩컴퍼니,380,10.,0.02631579
YBM넷,3790,85.,0.02242744
YG PLUS,1390,73.33333333,0.05275779
YTN,2040,70.,0.03431373
YW,3705,60.,0.01619433
iMBC,2355,50.,0.02123142
가비아,7800,80.,0.01025641
가온미디어,8290,120.,0.01447527
가온전선,21400.,560.,0.02616822
강남제비스코,20050,403.33333333,0.02011638
강스템바이오텍,7770,330.,0.04247104
강원랜드,29950,526.66666667,0.01758486
갤럭시아에스엠,1620,64.66666667,0.0399177
갤럭시아컴즈,3475,135.,0.03884892
게임빌,29900,650.,0.02173913
경남스틸,1820,60.,0.03296703
경남제약,8710,470.,0.05396096
경농,11250.,463.33333333,0.04118519
경동나비엔,43900,953.33333333,0.02171602
경동도시가스,21600,426.,0.01972222
경동인베스트,35400,670.,0.01892655
경동제약,7800,130.,0.01666667
경방,9890,355.33333333,0.03592855
경보제약,8330.,191.33333333,0.02296919
경인양행,7410,183.33333333,0.02474134
경인전자,20350,450.,0.02211302
경창산업,1320,125.,0.09469697
계룡건설,20400,636.66666667,0.03120915
계양전기,3110.,161.33333333,0.05187567
계양전기우,7040.,282.66666667,0.04015152
고려개발,9500,255.33333333,0.02687719
고려산업,3260,139.,0.04263804
고려시멘트,3255,155.,0.04761905
고려신용정보,5030,50.,0.00994036
고려아연,409500.,7400.,0.01807082
고려제강,21550,656.66666667,0.03047177
고려제약,7270,140.,0.01925722
고영,102800,4900.,0.04766537
골드퍼시픽,1645,140.,0.08510638
골든센츄리,329,6.,0.01823708
골프존,67800,1400.,0.02064897
골프존뉴딘홀딩스,3595,40.,0.01112656
광동제약,6810,118.,0.01732746
광림,2295,45.,0.01960784
광명전기,2165,50.66666667,0.02340262
광전자,2045,39.33333333,0.0192339
광주신세계,173000,3366.66666667,0.0194605
광진실업,3720,120.33333333,0.03234767
광진윈텍,3330,115.,0.03453453
교보7호스팩,2100,80.,0.03809524
교보8호스팩,2040,40.,0.01960784
교보9호스팩,2010,5.,0.00248756
교보증권,9350,178.66666667,0.01910873
구영테크,1790,85.,0.04748603
국도화학,45750,650.,0.01420765
국동,1360.,56.66666667,0.04166667
국보디자인,17200,400.,0.02325581
국순당,2920.,97.66666667,0.03344749
국영지앤엠,1560,101.,0.06474359
국일신동,5840,180.,0.03082192
국일제지,6020,230.,0.03820598
국제약품,4510,117.33333333,0.02601626
그리티,2755,150.,0.05444646
그린케미칼,3288.82006836,138.40133464,0.04208237
그린플러스,11000,450.,0.04090909
극동유화,3405.,59.33333333,0.01742535
글로벌에스엠,669,24.,0.03587444
글로벌텍스프리,3435,100.,0.02911208
글로본,3090,70.,0.02265372
글로스퍼랩스,520,16.,0.03076923
금강공업,3900,88.,0.0225641
금강공업우,8260,204.,0.02469734
금강철강,3550,100.,0.02816901
금비,63600,1033.33333333,0.01624738
금양,2275,77.66666667,0.03413919
금호산업,11050,300.,0.02714932
금호산업우,37750.,1773.33333333,0.04697572
금호석유,74100,2253.33333333,0.03040936
금호석유우,30900,990.,0.03203883
금호에이치티,5960.,285.33333333,0.04787472
금호전기,3730.,501.33333333,0.13440572
금호타이어,4250,95.66666667,0.0225098
금화피에스시,30000,450.,0.015
기가레인,1470,55.,0.03741497
기산텔레콤,2070,55.,0.02657005
기신정기,3760,68.66666667,0.01826241
기아차,42650.,1080.,0.02532239
기업은행,11850.,186.66666667,0.01575246
까뮤이앤씨,1210,58.,0.04793388
까스텔바작,9550,240.,0.02513089
깨끗한나라,2255,66.,0.02926829
깨끗한나라우,17000,716.66666667,0.04215686
나노,1995,30.,0.01503759
나노메딕스,8250,485.33333333,0.05882828
나노브릭,11050,800.,0.07239819
나노스,4130,155.,0.03753027
나노신소재,15700,250.,0.01592357
나노엔텍,5500,170.,0.03090909
나노캠텍,2240,70.,0.03125
